Wavelength,N8978(Veg)
1.346,19.4263425
1.347,19.39650306
1.348,19.37905468
1.349,19.40841572
1.35,0
1.351,0
1.352,0
1.353,0
1.354,0
1.355,0
1.356,0
1.357,0
1.358,0
1.359,0
1.36,0
1.361,0
1.362,0
1.363,0
1.364,0
1.365,0
1.366,0
1.367,0
1.368,0
1.369,0
1.37,0
1.371,0
1.372,0
1.373,0
1.374,0
1.375,0
1.376,0
1.377,0
1.378,0
1.379,0
1.38,0
1.381,0
1.382,0
1.383,0
1.384,0
1.385,0
1.386,0
1.387,0
1.388,0
1.389,0
1.39,0
1.391,0
1.392,0
1.393,0
1.394,0
1.395,0
1.396,0
1.397,0
1.398,0
1.399,0
1.4,0
1.401,0
1.402,0
1.403,0
1.404,0
1.405,0
1.406,0
1.407,0
1.408,0
1.409,0
1.41,0
1.411,0
1.412,0
1.413,0
1.414,0
1.415,0
1.416,0
1.417,0
1.418,0
1.419,0
1.42,0
1.421,0
1.422,0
1.423,0
1.424,0
1.425,0
1.426,0
1.427,0
1.428,0
1.429,0
1.43,0
1.431,0
1.432,0
1.433,0
1.434,0
1.435,0
1.436,0
1.437,0
1.438,0
1.439,0
1.44,0
1.441,0
1.442,0
1.443,0
1.444,0
1.445,0
1.446,0
1.447,0
1.448,0
1.449,0
1.45,0
1.451,0
1.452,0
1.453,0
1.454,0
1.455,0
1.456,0
1.457,0
1.458,0
1.459,0
1.46,0
1.461,5.620489106
1.462,5.630750583
1.463,5.643296476
1.464,5.658529311
1.465,5.676823127
1.466,5.697671703
1.467,5.720707659
1.468,5.745028769
1.469,5.769284992
1.47,5.794047797
1.471,5.819959231
1.472,5.846524983
1.473,5.873551119
1.474,5.900638416
1.475,5.927591107
1.476,5.9542035
1.477,5.980390398
1.478,6.006666454
1.479,6.032360323
1.48,6.058141332
1.481,6.084756826
1.482,6.11099289
1.483,6.136840631
1.484,6.162992791
1.485,6.189375355
1.486,6.216209856
1.487,6.243945248
1.488,6.272236871
1.489,6.30068757
1.49,6.328875754
1.491,6.358058118
1.492,6.388354914
1.493,6.419159663
1.494,6.450919668
1.495,6.48331187
1.496,6.515772624
1.497,6.548698966
1.498,6.582239728
1.499,6.616041434
1.5,6.651200989
1.501,6.687454814
1.502,6.724004615
1.503,6.760989054
1.504,6.798503629
1.505,6.836800764
1.506,6.875351686
1.507,6.914603456
1.508,6.954908781
1.509,6.995664592
1.51,7.036134034
1.511,7.076824134
1.512,7.117492721
1.513,7.158306406
1.514,7.199387427
1.515,7.240520891
1.516,7.281623213
1.517,7.322198957
1.518,7.362085741
1.519,7.402298086
1.52,7.443684174
1.521,7.485199831
1.522,7.525928335
1.523,7.566644674
1.524,7.607791235
1.525,7.648833222
1.526,7.689929365
1.527,7.731691357
1.528,7.772831692
1.529,7.813812651
1.53,7.855927901
1.531,7.897911539
1.532,7.938929025
1.533,7.980182899
1.534,8.0218648
1.535,8.063279178
1.536,8.104414948
1.537,8.145547438
1.538,8.185854046
1.539,8.225849449
1.54,8.266052681
1.541,8.306461927
1.542,8.346507334
1.543,8.386201449
1.544,8.425390864
1.545,8.464503057
1.546,8.504148368
1.547,8.543663856
1.548,8.582792452
1.549,8.622315661
1.55,8.661995724
1.551,8.700739098
1.552,8.738895149
1.553,8.777471265
1.554,8.815829826
1.555,8.853678644
1.556,8.891591183
1.557,8.929549901
1.558,8.966997862
1.559,9.004359953
1.56,9.04147241
1.561,9.077459885
1.562,9.112647589
1.563,9.147826728
1.564,9.182575646
1.565,9.217151319
1.566,9.252015955
1.567,9.286659853
1.568,9.320646688
1.569,9.354855254
1.57,9.389857695
1.571,9.424316265
1.572,9.458367527
1.573,9.493083161
1.574,9.52773857
1.575,9.562228477
1.576,9.596774515
1.577,9.631229052
1.578,9.66554808
1.579,9.699598209
1.58,9.73381338
1.581,9.768132604
1.582,9.802615237
1.583,9.837384864
1.584,9.87152052
1.585,9.905288647
1.586,9.939229942
1.587,9.97208126
1.588,10.00455864
1.589,10.03691073
1.59,10.06911017
1.591,10.1010584
1.592,10.13275941
1.593,10.16464718
1.594,10.1964083
1.595,10.22850931
1.596,10.26149864
1.597,10.29428356
1.598,10.32583768
1.599,10.35736999
1.6,10.38969651
1.601,10.42121458
1.602,10.45259942
1.603,10.48496331
1.604,10.51679027
1.605,10.54778205
1.606,10.57909064
1.607,10.61115921
1.608,10.64279749
1.609,10.67369922
1.61,10.70493383
1.611,10.73590314
1.612,10.76609838
1.613,10.79539995
1.614,10.82385326
1.615,10.85237542
1.616,10.88048137
1.617,10.90754702
1.618,10.93481823
1.619,10.96137117
1.62,10.98720967
1.621,11.01283368
1.622,11.03772228
1.623,11.06209757
1.624,11.08584493
1.625,11.10930942
1.626,11.13263231
1.627,11.15506817
1.628,11.17635534
1.629,11.19856144
1.63,11.22192679
1.631,11.24489959
1.632,11.26819185
1.633,11.29255565
1.634,11.31678203
1.635,11.34055296
1.636,11.36430753
1.637,11.38825148
1.638,11.41111277
1.639,11.43320611
1.64,11.45572104
1.641,11.47799953
1.642,11.49974584
1.643,11.52046626
1.644,11.53998292
1.645,11.55848046
1.646,11.57498667
1.647,11.59007418
1.648,11.60432816
1.649,11.61720064
1.65,11.62865538
1.651,11.63895106
1.652,11.64799737
1.653,11.65600449
1.654,11.66304847
1.655,11.66875295
1.656,11.67294586
1.657,11.67617866
1.658,11.6784181
1.659,11.68061548
1.66,11.68256068
1.661,11.68363333
1.662,11.68421987
1.663,11.68479609
1.664,11.68508213
1.665,11.68366456
1.666,11.67979195
1.667,11.6759494
1.668,11.67210518
1.669,11.66783878
1.67,11.66355351
1.671,11.65827262
1.672,11.65123564
1.673,11.64230331
1.674,11.6322126
1.675,11.62109096
1.676,11.60824765
1.677,11.59414694
1.678,11.57887611
1.679,11.56204341
1.68,11.54345034
1.681,11.52358957
1.682,11.50231592
1.683,11.47995567
1.684,11.45723968
1.685,11.43212138
1.686,11.40464984
1.687,11.37671405
1.688,11.34735447
1.689,11.31727505
1.69,11.28833249
1.691,11.25838278
1.692,11.22618894
1.693,11.19362127
1.694,11.16106891
1.695,11.12676206
1.696,11.09153618
1.697,11.05768289
1.698,11.02351475
1.699,10.98899648
1.7,10.95526311
1.701,10.9216165
1.702,10.88784909
1.703,10.85451875
1.704,10.82179165
1.705,10.789521
1.706,10.75766533
1.707,10.72600258
1.708,10.69469253
1.709,10.66418865
1.71,10.63395497
1.711,10.60476568
1.712,10.57769963
1.713,10.55035725
1.714,10.52264641
1.715,10.4937158
1.716,10.46535005
1.717,10.43917337
1.718,10.41345788
1.719,10.38800797
1.72,10.36298286
1.721,10.33627109
1.722,10.31046169
1.723,10.28837545
1.724,10.26725909
1.725,10.24561718
1.726,10.22510096
1.727,10.20660539
1.728,10.19003609
1.729,10.17637492
1.73,10.16460546
1.731,10.15319189
1.732,10.14271322
1.733,10.13369041
1.734,10.12517626
1.735,10.11645104
1.736,10.10779678
1.737,10.09924486
1.738,10.0902146
1.739,10.08091931
1.74,10.07011215
1.741,10.05694463
1.742,10.04232667
1.743,10.02522875
1.744,10.00746037
1.745,9.989460545
1.746,9.970447728
1.747,9.94972177
1.748,9.926350937
1.749,9.900387274
1.75,9.874346569
1.751,9.849071255
1.752,9.825114003
1.753,9.802064609
1.754,9.7774769
1.755,9.752239001
1.756,9.728199107
1.757,9.707509339
1.758,9.689580278
1.759,9.671992403
1.76,9.655444861
1.761,9.639864305
1.762,9.624600851
1.763,9.612051129
1.764,9.601672393
1.765,9.591637839
1.766,9.585023086
1.767,9.579768124
1.768,9.571780479
1.769,9.564180882
1.77,9.558203818
1.771,9.553261789
1.772,9.552547328
1.773,9.553495808
1.774,9.552322214
1.775,9.550392498
1.776,9.549266471
1.777,9.548490127
1.778,9.55046282
1.779,9.552959806
1.78,9.554260638
1.781,9.555211822
1.782,9.554904418
1.783,9.556162813
1.784,9.560585672
1.785,9.565531003
1.786,9.573138879
1.787,9.583560808
1.788,9.591293604
1.789,9.603217578
1.79,0
1.791,0
1.792,0
1.793,0
1.794,0
1.795,0
1.796,0
1.797,0
1.798,0
1.799,0
1.8,0
1.801,0
1.802,0
1.803,0
1.804,0
1.805,0
1.806,0
1.807,0
1.808,0
1.809,0
1.81,0
1.811,0
1.812,0
1.813,0
1.814,0
1.815,0
1.816,0
1.817,0
1.818,0
1.819,0
1.82,0
1.821,0
1.822,0
1.823,0
1.824,0
1.825,0
1.826,0
1.827,0
1.828,0
1.829,0
1.83,0
1.831,0
1.832,0
1.833,0
1.834,0
1.835,0
1.836,0
1.837,0
1.838,0
1.839,0
1.84,0
1.841,0
1.842,0
1.843,0
1.844,0
1.845,0
1.846,0
1.847,0
1.848,0
1.849,0
1.85,0
1.851,0
1.852,0
1.853,0
1.854,0
1.855,0
1.856,0
1.857,0
1.858,0
1.859,0
1.86,0
1.861,0
1.862,0
1.863,0
1.864,0
1.865,0
1.866,0
1.867,0
1.868,0
1.869,0
1.87,0
1.871,0
1.872,0
1.873,0
1.874,0
1.875,0
1.876,0
1.877,0
1.878,0
1.879,0
1.88,0
1.881,0
1.882,0
1.883,0
1.884,0
1.885,0
1.886,0
1.887,0
1.888,0
1.889,0
1.89,0
1.891,0
1.892,0
1.893,0
1.894,0
1.895,0
1.896,0
1.897,0
1.898,0
1.899,0
1.9,0
1.901,0
1.902,0
1.903,0
1.904,0
1.905,0
1.906,0
1.907,0
1.908,0
1.909,0
1.91,0
1.911,0
1.912,0
1.913,0
1.914,0
1.915,0
1.916,0
1.917,0
1.918,0
1.919,0
1.92,0
1.921,0
1.922,0
1.923,0
1.924,0
1.925,0
1.926,0
1.927,0
1.928,0
1.929,0
1.93,0
1.931,0
1.932,0
1.933,0
1.934,0
1.935,0
1.936,0
1.937,0
1.938,0
1.939,0
1.94,0
1.941,0
1.942,0
1.943,0
1.944,0
1.945,0
1.946,0
1.947,0
1.948,0
1.949,0
1.95,0
1.951,0
1.952,0
1.953,0
1.954,0
1.955,0
1.956,0
1.957,0
1.958,0
1.959,0
1.96,0
1.961,2.324135526
1.962,2.317345774
1.963,2.306776915
1.964,2.304841954
1.965,2.303988243
1.966,2.309976085
1.967,2.319296917
1.968,2.327485948
1.969,2.327936542
1.97,2.332374312
1.971,2.345284687
1.972,2.358918181
1.973,2.373632976
1.974,2.391714052
1.975,2.410747885
1.976,2.429876364
1.977,2.452465085
1.978,2.47620989
1.979,2.495859664
1.98,2.512937372
1.981,2.528400092
1.982,2.543347126
1.983,2.55962994
1.984,2.579708451
1.985,2.598240191
1.986,2.613896027
1.987,2.633094881
1.988,2.650664971
1.989,2.661123596
1.99,2.674799297
1.991,2.689355744
1.992,2.695731001
1.993,2.701707856
1.994,2.716455403
1.995,2.73442296
1.996,2.749957469
1.997,2.758480253
1.998,2.768884691
1.999,2.780168038
2,2.783604735
2.001,2.788391795
2.002,2.801913651
2.003,2.815547444
2.004,2.829723657
2.005,2.846813003
2.006,2.866996058
2.007,2.892954897
2.008,2.920984506
2.009,2.947041504
2.01,2.971401586
2.011,2.995934042
2.012,3.021505341
2.013,3.048625791
2.014,3.079541889
2.015,3.108944432
2.016,3.136219696
2.017,3.162853296
2.018,3.183076333
2.019,3.199990807
2.02,3.221008252
2.021,3.235972484
2.022,3.245083673
2.023,3.261202259
2.024,3.279086971
2.025,3.285756247
2.026,3.286377019
2.027,3.286126035
2.028,3.290158788
2.029,3.292478639
2.03,3.294264501
2.031,3.30612503
2.032,3.320790805
2.033,3.330737347
2.034,3.342517327
2.035,3.35688756
2.036,3.371860229
2.037,3.386677397
2.038,3.398672046
2.039,3.40645835
2.04,3.413235947
2.041,3.42328633
2.042,3.43336205
2.043,3.444199262
2.044,3.457673711
2.045,3.467752419
2.046,3.474626513
2.047,3.484576504
2.048,3.498118456
2.049,3.510963428
2.05,3.522324211
2.051,3.53329104
2.052,3.544637608
2.053,3.556073061
2.054,3.566074236
2.055,3.576021157
2.056,3.58708301
2.057,3.593926084
2.058,3.597524136
2.059,3.601846518
2.06,3.605972513
2.061,3.610633681
2.062,3.617320418
2.063,3.624164745
2.064,3.630930395
2.065,3.638098635
2.066,3.64607357
2.067,3.655362056
2.068,3.66667827
2.069,3.678129534
2.07,3.690996787
2.071,3.706842397
2.072,3.722650106
2.073,3.739434023
2.074,3.758392379
2.075,3.777942629
2.076,3.799228428
2.077,3.822237785
2.078,3.84369706
2.079,3.86096248
2.08,3.877001952
2.081,3.89317426
2.082,3.908854933
2.083,3.924280949
2.084,3.937181037
2.085,3.947362271
2.086,3.954786841
2.087,3.958109222
2.088,3.960096336
2.089,3.963114431
2.09,3.966547227
2.091,3.973153046
2.092,3.981158191
2.093,3.98917379
2.094,3.999914826
2.095,4.011154374
2.096,4.021608527
2.097,4.03370217
2.098,4.046830687
2.099,4.05961114
2.1,4.074063814
2.101,4.090552687
2.102,4.106295534
2.103,4.121973919
2.104,4.139261749
2.105,4.157130323
2.106,4.173624222
2.107,4.190226505
2.108,4.20570682
2.109,4.217521051
2.11,4.22900807
2.111,4.240161676
2.112,4.249643521
2.113,4.258136763
2.114,4.265034174
2.115,4.270880184
2.116,4.276056353
2.117,4.280120166
2.118,4.284965686
2.119,4.29151568
2.12,4.300210638
2.121,4.311865132
2.122,4.324176393
2.123,4.337391718
2.124,4.348484969
2.125,4.356264003
2.126,4.365241363
2.127,4.376939512
2.128,4.389437084
2.129,4.404925244
2.13,4.422076414
2.131,4.437295531
2.132,4.452430637
2.133,4.470226814
2.134,4.487360163
2.135,4.500516556
2.136,4.511000016
2.137,4.52103737
2.138,4.528434712
2.139,4.534381747
2.14,4.542985986
2.141,4.552445565
2.142,4.561269237
2.143,4.572116361
2.144,4.582296019
2.145,4.59216075
2.146,4.60169834
2.147,4.610074855
2.148,4.620084058
2.149,4.632181226
2.15,4.644646588
2.151,4.66024159
2.152,4.676412669
2.153,4.690279605
2.154,4.701447823
2.155,4.709270505
2.156,4.719830143
2.157,4.734253837
2.158,4.748087118
2.159,4.760983679
2.16,4.771798597
2.161,4.779764304
2.162,4.787678517
2.163,4.794586998
2.164,4.801399126
2.165,4.808509486
2.166,4.812315134
2.167,4.815741491
2.168,4.822218047
2.169,4.832225827
2.17,4.843096264
2.171,4.854030216
2.172,4.86754046
2.173,4.883592258
2.174,4.89928276
2.175,4.916180352
2.176,4.931183735
2.177,4.944873869
2.178,4.962220456
2.179,4.97975683
2.18,4.995978945
2.181,5.01368778
2.182,5.028569393
2.183,5.039747047
2.184,5.051085052
2.185,5.061435009
2.186,5.074012089
2.187,5.083170737
2.188,5.087485225
2.189,5.092301991
2.19,5.095502411
2.191,5.097389593
2.192,5.103101567
2.193,5.109682265
2.194,5.116356248
2.195,5.122016617
2.196,5.125996615
2.197,5.134775004
2.198,5.148297973
2.199,5.162058145
2.2,5.174322612
2.201,5.185289007
2.202,5.195042234
2.203,5.203159754
2.204,5.210276314
2.205,5.218608871
2.206,5.225188244
2.207,5.231314482
2.208,5.239488907
2.209,5.246890232
2.21,5.253189668
2.211,5.259017769
2.212,5.264908845
2.213,5.270213874
2.214,5.272833828
2.215,5.274291174
2.216,5.277556482
2.217,5.27882674
2.218,5.279706808
2.219,5.279307022
2.22,5.276022971
2.221,5.274690659
2.222,5.274417582
2.223,5.273206465
2.224,5.272988988
2.225,5.272419941
2.226,5.270343632
2.227,5.265691009
2.228,5.257260097
2.229,5.245036667
2.23,5.230824271
2.231,5.215966272
2.232,5.199070938
2.233,5.182659762
2.234,5.165089214
2.235,5.147887337
2.236,5.128267507
2.237,5.109175854
2.238,5.093236499
2.239,5.076360838
2.24,5.056872761
2.241,5.038766709
2.242,5.019467815
2.243,4.998683391
2.244,4.976600691
2.245,4.954641329
2.246,4.93399379
2.247,4.908451156
2.248,4.878943646
2.249,4.851042774
2.25,4.827120958
2.251,4.803956385
2.252,4.779519474
2.253,4.755476156
2.254,4.732235523
2.255,4.707490713
2.256,4.678135176
2.257,4.646862323
2.258,4.615264188
2.259,4.581704885
2.26,4.548019439
2.261,4.511949648
2.262,4.474090436
2.263,4.440118257
2.264,4.405672791
2.265,4.375769578
2.266,4.35179835
2.267,4.328966478
2.268,4.310449477
2.269,4.293756882
2.27,4.276220365
2.271,4.255663876
2.272,4.233228287
2.273,4.209351097
2.274,4.186838083
2.275,4.170396096
2.276,4.154636739
2.277,4.133577092
2.278,4.113091288
2.279,4.092726799
2.28,4.069396026
2.281,4.047627162
2.282,4.025741499
2.283,4.003270568
2.284,3.983093292
2.285,3.956182729
2.286,3.922297741
2.287,3.889610513
2.288,3.856391373
2.289,3.822665768
2.29,3.792581029
2.291,3.766742111
2.292,3.743468224
2.293,3.717899535
2.294,3.692245026
2.295,3.672424471
2.296,3.652459301
2.297,3.631730445
2.298,3.619846326
2.299,3.607164874
2.3,3.590243946
2.301,3.574644225
2.302,3.563766141
2.303,3.554568886
2.304,3.547134493
2.305,3.538122248
2.306,3.52392187
2.307,3.509321477
2.308,3.497937089
2.309,3.488130093
2.31,3.481004634
2.311,3.476200208
2.312,3.469373766
2.313,3.461241258
2.314,3.453067467
2.315,3.445294134
2.316,3.441952427
2.317,3.444219487
2.318,3.449519507
2.319,3.454807457
2.32,3.460051283
2.321,3.458878549
2.322,3.449117716
2.323,3.442645175
2.324,3.441619123
2.325,3.438069855
2.326,3.431859713
2.327,3.433331784
2.328,3.43534409
2.329,3.430921461
2.33,3.429055972
2.331,3.434770975
2.332,3.431739366
2.333,3.423254293
2.334,3.416071709
2.335,3.403822013
2.336,3.386394693
2.337,3.365413901
2.338,3.343780844
2.339,3.323946072
2.34,3.301229394
2.341,3.279570247
2.342,3.26537371
2.343,3.248914529
2.344,3.23068742
2.345,3.220380079
2.346,3.211828748
2.347,3.203012216
2.348,3.196865727
2.349,3.186577124
2.35,3.164039363
2.351,3.130105112
2.352,3.102464237
2.353,3.08506427
2.354,3.066567808
2.355,3.053492653
2.356,3.04873792
2.357,3.049289285
2.358,3.05068729
2.359,3.060380073
2.36,3.084098247
2.361,3.105716564
2.362,3.10672825
2.363,3.095192395
2.364,3.073823491
2.365,3.042435736
2.366,3.008169449
2.367,2.987752884
2.368,2.981412854
2.369,2.970186209
2.37,2.95952984
2.371,2.953883367
2.372,2.941663996
2.373,2.921548001
2.374,2.905145385
2.375,2.898342747
2.376,2.893277949
2.377,2.887700685
2.378,2.874240466
2.379,2.849841851
2.38,2.818335458
2.381,2.781167849
2.382,2.752039814
2.383,2.72877301
2.384,2.705421403
2.385,2.692780427
2.386,2.690334796
2.387,2.695742866
2.388,2.707045807
2.389,2.715258091
2.39,2.711201206
2.391,2.686522933
2.392,2.657278123
2.393,2.636361091
2.394,2.619348856
2.395,2.613174711
2.396,2.616983066
2.397,2.627556888
2.398,2.635522932
2.399,2.626341287
2.4,2.612670209
2.401,2.594707315
2.402,2.573737916
2.403,2.574992312
2.404,2.583120453
2.405,2.584382703
2.406,2.592800271
2.407,2.590881488
2.408,2.568153806
2.409,2.544926791
2.41,2.511848744
2.411,2.467505047
2.412,2.437829793
2.413,2.413873443
2.414,2.391767998
2.415,2.382254164
2.416,2.375524082
2.417,2.359738012
2.418,2.329801274
2.419,2.295289614
2.42,2.273248292
2.421,2.264021363
2.422,2.264721101
2.423,2.268050469
2.424,2.259534474
2.425,2.244037438
2.426,2.228370141
2.427,2.213526351
2.428,2.191515077
2.429,2.147729577
2.43,2.113522691
2.431,2.099373676
2.432,2.079479203
2.433,2.084261467
2.434,2.080020874
2.435,2.063508312
2.436,2.053599788
2.437,2.023818227
2.438,1.993386101
2.439,1.984777663
2.44,1.979559481
2.441,1.988251797
2.442,1.997122227
2.443,1.982372273
2.444,1.969366666
2.445,1.965563863
2.446,1.951672669
2.447,1.923423929
2.448,1.912045033
2.449,1.929952477
2.45,1.953342414
2.451,1.985116165
2.452,2.001226827
2.453,1.972328177
2.454,1.925833753
2.455,1.903110188
2.456,1.86498424
2.457,1.763816471
2.458,1.662715016
2.459,1.574256978
2.46,1.519215707
2.461,1.530362752
2.462,1.552449426
2.463,1.613339446
2.464,1.745540534
2.465,1.848145866
2.466,1.830209703
2.467,1.795899314
2.468,1.740373763
2.469,1.674167243
2.47,1.71912816
2.471,1.76350961
2.472,1.676541931
2.473,1.5709291
2.474,1.616193964
2.475,1.714363743
2.476,1.642469376
2.477,1.533946313
2.478,1.410970472
2.479,1.157276093
2.48,1.08681405
2.481,1.221003255
2.482,1.211745167
2.483,1.139678353
2.484,1.033241946
